14134	60220	6.686399
1594	65	6.700710
69	1755	6.715684
69	42269	6.736699
1699	36722	6.760766
65	73848	6.763970
69	1695	6.767926
2022	48095	6.768209
1864	8715	6.769573
27478	77153	6.770961
2022	16760	6.781729
41100	42767	6.791606
48095	76236	6.803841
1594	50573	6.804472
4512	35194	6.833292
3025	87219	6.835173
17	50941	6.860951
48655	58136	6.862323
1699	28465	6.871715
531	53452	6.887249
65	35587	6.899338
17	2959	6.913409
28465	4054	6.922949
8715	46	6.937616
17096	49340	6.938891
931	4946	6.944865
2137	3949	6.947369
14134	328	6.959913
65	736	6.963549
29746	30924	6.978535
69	94353	7.001709
1271	3385	7.009338
890	72995	7.019773
328	31674	7.030842
17	2	7.032936
69	97	7.038678
4054	28091	7.044127
793	789	7.047837
2	31333	7.061710
94353	2504	7.066001
1594	4743	7.066577
17	12037	7.067774
2	22888	7.068425
2	48330	7.069795
2	2867	7.076471
2	52841	7.086832
2	98	7.093250
69	315	7.099523
46	4399	7.103777
2	91712	7.104116
2022	16909	7.104760
46	96124	7.117282
1271	1418	7.118837
65	41806	7.120433
2	12662	7.121273
27017	68389	7.128525
8715	26670	7.134684
2	12573	7.138011
2	17894	7.140296
1755	85058	7.141319
4054	11475	7.155798
789	97417	7.159709
2	80098	7.162276
65	41422	7.167521
2	99715	7.172313
8723	558	7.174138
98	59728	7.177014
2	15	7.182535
890	16765	7.186029
2	219	7.191309
4512	40422	7.202830
1699	16184	7.203199
15	53059	7.204587
531	6915	7.211032
2	68190	7.213335
46	51737	7.218093
2	47712	7.219064
2	54743	7.219323
328	52445	7.220914
2867	9965	7.238462
76310	4156	7.247155
69	43953	7.250822
12769	29608	7.252201
2504	21396	7.254609
1490	54597	7.260339
69	28567	7.260371
98	34780	7.260782
69	14	7.267252
2	78461	7.275443
14	27604	7.279851
97	27115	7.290953
2	1015	7.298587
2	27772	7.301281
2	54508	7.302258
46	7270	7.304590
2	779	7.307633
2	58578	7.309156
2	81388	7.313901
2	65027	7.315573
2	0	7.316622
0	2302	7.316684
1699	7830	7.317982
2	55619	7.318323
0	39306	7.318867
315	4823	7.320458
2	74659	7.321100
219	28595	7.323023
2	34	7.324147
2	66144	7.329853
2	31773	7.330840
0	28991	7.334586
21396	32697	7.337455
20751	74373	7.346960
0	38738	7.349369
98	99000	7.349383
4054	49730	7.351021
2022	4521	7.360217
2	33149	7.363965
0	23886	7.367668
0	49429	7.368369
0	83717	7.372361
0	900	7.381283
14	5500	7.381441
2	12096	7.384619
1490	11413	7.386182
97	1555	7.388910
2	5469	7.388950
69	71931	7.391923
2	14951	7.400340
890	3029	7.400424
2022	2588	7.402808
98	32517	7.405563
2	40317	7.406126
219	31359	7.407006
531	43573	7.409181
1594	24915	7.411828
0	48	7.413653
0	75204	7.417422
2	27166	7.420326
31333	35002	7.422155
2	19947	7.425480
98	553	7.425820
31333	26448	7.427795
34	8957	7.429954
931	90443	7.430127
51480	36201	7.431022
2	42294	7.434792
7830	49864	7.442318
98	56464	7.450445
97	18767	7.454747
58822	60091	7.455625
793	58869	7.457307
1555	99576	7.457545
2	312	7.460787
0	47932	7.461662
0	43	7.461676
14	27511	7.464091
24109	77	7.465986
17	80701	7.466282
0	31090	7.467004
2	1368	7.468881
2	161	7.470202
328	69168	7.476247
15	50964	7.479510
0	39402	7.480638
14	3	7.481247
69	7779	7.483998
24109	69066	7.484435
315	14675	7.484464
0	51125	7.486551
14	35543	7.489586
0	26179	7.489890
10907	87444	7.491941
2	15678	7.491998
2	1317	7.492635
0	86558	7.493240
1594	85004	7.495400
43	39095	7.496405
2	42032	7.496617
0	78322	7.496917
2	693	7.497819
2	3976	7.503211
14	91981	7.503897
17	41171	7.509327
2	96661	7.515085
14	22	7.515696
3	4014	7.515710
8957	27985	7.515896
0	18915	7.516986
19270	72609	7.518033
43	21557	7.522390
0	25124	7.523264
97	87524	7.524422
51125	60845	7.526083
3	31080	7.528972
15	22192	7.535277
3	66584	7.536752
0	45172	7.541300
65	95889	7.545728
17096	19168	7.546189
2	32782	7.550371
3	91746	7.551657
0	88210	7.551824
34414	8239	7.552599
328	5808	7.553045
315	88683	7.553696
77	96675	7.553706
328	79404	7.553900
900	34647	7.554222
1490	2805	7.557578
0	1465	7.559512
32517	85235	7.562841
0	4112	7.566707
2022	45309	7.567686
315	76896	7.573390
2504	6016	7.574009
98	25029	7.574579
17	46456	7.578250
22	75933	7.579458
14	74207	7.580033
2	1885	7.584172
34	87603	7.591284
97	52716	7.593241
0	19352	7.593671
2	21766	7.594991
32782	64352	7.595321
4054	27200	7.597849
48	77854	7.598441
15	60514	7.602047
312	57642	7.606607
0	53580	7.607159
26179	8002	7.607171
64352	8208	7.607282
161	2047	7.608033
0	88852	7.608894
2	53791	7.609335
2	69188	7.609986
0	5084	7.616610
0	8379	7.621809
2	32372	7.624469
789	52895	7.625372
3	1291	7.626851
2	2537	7.628238
50964	92024	7.629624
14	60270	7.630021
14	5275	7.630673
14	14600	7.630830
14	40394	7.632531
69	71864	7.633373
88852	47579	7.633645
8715	10394	7.634387
86449	78486	7.637553
0	99820	7.637813
2022	77065	7.638368
1271	45596	7.642407
