16.803884 89.600000 80856 0 1 99845 155 [],[2416]
16.814956 89.600000 70916 0 1 99844 156 [],[76]
16.833639 89.700000 2 0 1 99843 157 [],[67004]
16.841484 147.800000 55742 0 1 99842 158 [],[138]
16.869129 147.800000 88264 0 1 99841 159 [],[2]
16.877175 147.800000 28269 0 1 99840 160 [],[2]
16.877912 147.900000 2039 0 1 99839 161 [],[299]
16.888472 148.800000 6071 0 1 99838 162 [],[76]
16.893954 149.200000 10716 0 1 99837 163 [],[2]
16.895700 149.800000 17104 0 1 99836 164 [],[138]
16.895906 150.000000 25826 0 1 99835 165 [],[59418]
16.897932 151.000000 6636 0 1 99834 166 [],[2]
16.898245 151.400000 85316 0 1 99833 167 [],[82740]
16.900502 151.400000 11674 0 1 99832 168 [],[10456]
16.904568 152.000000 2151 0 1 99831 169 [],[2]
16.906492 153.400000 64181 0 1 99830 170 [],[496]
16.908321 153.600000 85588 0 1 99829 171 [],[49147]
16.921976 153.600000 68543 0 1 99828 172 [],[2]
16.922631 153.600000 47646 0 1 99827 173 [],[1923]
16.922728 153.800000 346 0 1 99826 174 [],[10716]
16.937947 156.800000 3753 0 1 99825 175 [],[3704]
16.938715 156.900000 67454 0 1 99824 176 [],[2]
16.941000 156.900000 80031 0 1 99823 177 [],[2]
16.954859 156.900000 16496 0 1 99822 178 [],[2,76]
16.966575 156.800000 30748 0 1 99821 179 [],[2884]
16.979742 157.100000 13003 0 1 99820 180 [],[1075]
16.981931 157.800000 9205 0 1 99819 181 [],[1923]
16.985546 158.200000 1100 0 1 99818 182 [],[496]
16.985929 160.300000 2177 0 1 99817 183 [],[14040]
16.988861 161.000000 1263 0 1 99816 184 [],[299]
17.006323 163.700000 11614 0 1 99815 185 [],[138]
17.012132 164.400000 414 0 1 99814 186 [],[2884]
17.016602 169.700000 59205 0 1 99813 187 [],[13003]
17.021577 169.700000 791 0 1 99812 188 [],[76]
17.039443 172.600000 377 0 1 99811 189 [],[1100]
17.040773 173.900000 76886 0 1 99810 190 [],[496]
17.048264 173.900000 43691 0 1 99809 191 [],[2738]
17.056483 174.000000 462 0 1 99808 192 [],[496]
17.068227 176.800000 36783 0 1 99807 193 [],[54652]
17.070825 177.100000 49967 0 1 99806 194 [],[1654]
17.094640 177.100000 2822 0 1 99805 195 [],[2]
17.097577 177.200000 16416 0 1 99804 196 [],[615]
17.099291 177.200000 16724 0 1 99803 197 [],[2]
17.102803 177.600000 214 0 1 99802 198 [],[5843]
17.108337 180.700000 15491 0 1 99801 199 [],[2]
17.115774 181.200000 23709 0 1 99800 200 [],[138]
17.120235 181.400000 25401 0 1 99799 201 [],[76]
17.124851 181.600000 9596 0 1 99798 202 [],[2]
17.127663 182.400000 85768 0 1 99797 203 [],[462]
17.145521 182.400000 17603 0 1 99796 204 [],[28269]
17.146497 182.700000 20202 0 1 99795 205 [],[2,76]
17.150917 182.500000 70979 0 1 99794 206 [],[791]
17.175248 182.500000 5482 0 1 99793 207 [],[1263]
17.185322 182.900000 66424 0 1 99792 208 [],[2]
17.189654 182.900000 42461 0 1 99791 209 [],[2]
17.192531 183.100000 59033 0 1 99790 210 [],[414]
17.193604 183.200000 57975 0 1 99789 211 [],[17104]
17.196514 183.200000 50627 0 1 99788 212 [],[5843]
17.197928 183.400000 27902 0 1 99787 213 [],[111]
17.201044 183.600000 74457 0 1 99786 214 [],[2]
17.214846 183.700000 1715 0 1 99785 215 [],[2884]
17.223266 184.800000 30957 0 1 99784 216 [],[2416]
17.226184 185.000000 83793 0 1 99783 217 [],[2]
17.226935 185.000000 37657 0 1 99782 218 [],[25826]
17.229689 185.000000 1012 0 1 99781 219 [],[550]
17.232436 185.800000 75770 0 1 99780 220 [],[299]
17.236756 185.800000 17258 0 1 99779 221 [],[83357]
17.242181 186.500000 472 0 1 99778 222 [],[214]
17.242755 191.300000 60247 0 1 99777 223 [],[13202]
17.246078 191.300000 22298 0 1 99776 224 [],[76]
17.253623 191.500000 1538 0 1 99775 225 [],[6911]
17.255588 193.700000 9902 0 1 99774 226 [],[5035]
17.258010 194.200000 6174 0 1 99773 227 [],[76]
17.258183 194.200000 4096 0 1 99772 228 [],[1263]
17.261174 195.600000 25739 0 1 99771 229 [],[615]
17.261491 195.600000 12384 0 1 99770 230 [],[2]
17.262165 196.300000 14248 0 1 99769 231 [],[1923]
17.264084 196.300000 43323 0 1 99768 232 [],[791]
17.264606 196.300000 6079 0 1 99767 233 [],[1923]
17.269584 197.100000 18615 0 1 99766 234 [],[2]
17.274248 197.200000 9348 0 1 99765 235 [],[1263]
17.282977 197.400000 9538 0 1 99764 236 [],[567]
17.290050 198.400000 12520 0 1 99763 237 [],[6261]
17.292702 198.400000 75612 0 1 99762 238 [],[2]
17.293339 198.400000 18500 0 1 99761 239 [],[2]
17.294769 198.700000 33370 0 1 99760 240 [],[414]
17.295822 198.800000 82333 0 1 99759 241 [],[47646]
17.298522 198.800000 15332 0 1 99758 242 [],[2]
17.303915 198.900000 33872 0 1 99757 243 [],[2]
17.309049 199.100000 48308 0 1 99756 244 [],[414]
17.309742 199.100000 10472 0 1 99755 245 [],[791]
17.315480 199.400000 18490 0 1 99754 246 [],[40591,76]
17.316921 199.400000 56717 0 1 99753 247 [],[214,1923]
17.320345 199.200000 406 0 1 99752 248 [],[299]
17.320409 204.800000 3531 0 1 99751 249 [],[377]
17.324585 207.000000 42771 0 1 99750 250 [],[346]
17.337736 207.100000 33600 0 1 99749 251 [],[406]
17.347181 207.100000 84226 0 1 99748 252 [],[99935]
17.349973 207.300000 3474 0 1 99747 253 [],[2]
17.360613 209.800000 33610 0 1 99746 254 [],[15491]
17.379828 210.000000 51400 0 1 99745 255 [],[76]
17.384876 210.200000 22870 0 1 99744 256 [],[2]
17.386410 210.600000 39701 0 1 99743 257 [],[346]
17.392287 210.700000 71995 0 1 99742 258 [],[10402]
17.395695 210.700000 87201 0 1 99741 259 [],[2]
17.398747 210.700000 78457 0 1 99740 260 [],[17258]
17.403454 210.700000 37823 0 1 99739 261 [],[1715]
17.408629 210.900000 23678 0 1 99738 262 [],[27015]
17.413341 211.300000 35542 0 1 99737 263 [],[25826]
17.414625 211.400000 31615 0 1 99736 264 [],[10456]
