IDREC,IDTR,TIME_TR
142,190,20.645484
2163,599,20.646421
39335,135,20.649902
21,2,20.650963
23691,3,20.651741
82544,190,20.652543
39080,3011,20.653285
93205,1,20.653526
92988,2,20.653823
5747,14371,20.653927
79513,587,20.654041
26110,2,20.654576
57401,3,20.655583
74371,21,20.656378
73746,21,20.656997
8506,410,20.657283
17901,941,20.657503
52534,3,20.661412
36470,17484,20.661653
585,70,20.662970
8648,3,20.663525
925,2047,20.663834
60620,47758,20.663998
298,4279,20.667526
56457,6,20.667676
2671,136,20.671713
67981,31,20.672706
59913,70,20.673992
60667,3,20.674528
13970,599,20.675062
65096,8094,20.678478
38146,3,20.678478
14546,1,20.679029
35247,368,20.679422
91555,142,20.680299
610,79634,20.681343
4964,6,20.684508
28814,7233,20.684550
4516,121,20.686513
6722,2296,20.688021
62529,643,20.688356
20880,7599,20.690618
55972,437,20.690752
77426,2936,20.690818
13021,25,20.691652
1239,368,20.692610
37254,190,20.693383
57514,21049,20.696489
78287,238,20.697487
10144,84528,20.697894
5797,6,20.698637
89778,66507,20.698658
33583,25,20.699182
58908,21561,20.700324
30237,16227,20.701830
31437,2,20.702769
55358,6,20.703079
9162,1439,20.703195
39854,6,20.705998
83758,3,20.706135
72860,89,20.708581
609,3,20.709021
95903,13,20.709122
550,469,20.713313
83158,136,20.713340
53977,25,20.714300
44115,4,20.717413
91710,3,20.718511
61874,2,20.719216
14215,29559,20.721153
85073,1,20.722208
2474,3,20.722704
28997,6453,20.724767
59271,1,20.725309
23176,3,20.726622
99830,383,20.726709
70325,16857,20.727757
26212,469,20.728424
76869,6,20.730610
86497,28829,20.731143
8720,1,20.736098
19518,25412,20.737884
26353,38938,20.739445
15930,3,20.740528
11133,36283,20.742420
86637,21159,20.743620
26453,1,20.743644
6646,3,20.745777
85670,6,20.746333
53814,25233,20.748800
4325,198,20.750709
5102,190,20.750764
76494,26212,20.751404
85254,3,20.752794
45408,941,20.754177
25513,477,20.756957
12705,2,20.757510
78096,1877,20.759347
1423,21,20.760942
48410,2,20.761047
6475,610,20.761210
23300,599,20.761553
47637,3,20.763200
57337,3024,20.763240
36316,2330,20.764443
74025,264,20.765381
987,410,20.766292
4347,2,20.767325
909,401,20.767740
5800,892,20.769267
67503,13,20.769343
1135,13,20.771632
2710,3,20.775685
2004,3,20.783225
25475,1040,20.783895
3402,1307,20.785097
20549,2,20.786345
29902,31,20.786542
6647,48,20.787755
30100,13,20.787992
23540,1,20.788625
13865,368,20.789408
73202,9241,20.791109
44676,305,20.791871
651,25,20.794692
6662,2,20.794929
1222,599,20.796477
7697,3,20.797783
9652,972,20.799991
89192,51244,20.802378
63719,3,20.802587
16859,36808,20.802626
80512,113,20.803275
19674,4728,20.803358
66982,8720,20.804180
99594,20806,20.804307
16647,113,20.804383
12635,542,20.804693
91400,21,20.806789
43104,9550,20.808504
13165,76869,20.809393
33642,2373,20.812359
33294,198,20.813029
97,2503,20.813068
61668,790,20.813076
998,9030,20.813824
50380,2,20.820721
82841,23176,20.820940
16521,190,20.824857
